Data Peserta Didik Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Sukarami;39,882;20,639;19,243;2,345;1,168;1,177;735;367;368;39;20;19;97;54;43;335;246;89;0;0;0;19,382;9,955;9,427;8,134;4,149;3,985;4,642;2,046;2,596;3,733;2,364;1,369;440;270;170
2;Kec. Ilir Barat I;34,72;17,274;17,446;1,906;978;928;637;321;316;0;0;0;75;41;34;501;305;196;0;0;0;14,119;7,38;6,739;5,815;2,999;2,816;8,538;4,05;4,488;3,073;1,162;1,911;56;38;18
3;Kec. Kalidoni;28,144;14,771;13,373;1,456;781;675;473;242;231;0;0;0;28;12;16;1,18;686;494;0;0;0;13,824;7,191;6,633;6,139;3,2;2,939;2,915;1,333;1,582;2,129;1,326;803;0;0;0
4;Kec. Kemuning;27,761;14,586;13,175;1,087;576;511;231;128;103;0;0;0;115;61;54;158;97;61;0;0;0;11,246;5,812;5,434;4,83;2,386;2,444;5,249;2,2;3,049;4,567;3,159;1,408;278;167;111
5;Kec. Ilir Timur II;21,532;10,437;11,095;665;334;331;249;128;121;0;0;0;66;37;29;0;0;0;0;0;0;6,613;3,358;3,255;2,903;1,462;1,441;7,743;3,497;4,246;3,193;1,558;1,635;100;63;37
6;Kec. Sako;21,416;10,653;10,763;1,748;914;834;388;205;183;0;0;0;183;97;86;413;240;173;0;0;0;10,11;5,247;4,863;5,145;2,481;2,664;2,335;931;1,404;916;428;488;178;110;68
7;Kec. Plaju;19,961;10,193;9,768;1,011;519;492;384;182;202;0;0;0;71;37;34;95;58;37;0;0;0;10,049;5,254;4,795;4,31;2,181;2,129;2,033;867;1,166;2,008;1,095;913;0;0;0
8;Kec. Kertapati;19,78;10,054;9,726;472;244;228;653;332;321;20;7;13;216;115;101;38;31;7;0;0;0;9,286;4,866;4,42;4,481;2,227;2,254;2,611;1,132;1,479;2,003;1,1;903;0;0;0
9;Kec. Ilir Timur I;18,673;10,074;8,599;734;381;353;109;55;54;0;0;0;0;0;0;4;3;1;0;0;0;5,931;3,091;2,84;3,819;1,954;1,865;3,545;1,7;1,845;4,531;2,89;1,641;0;0;0
10;Kec. Alang-Alang Lebar;18,318;9,316;9,002;1,211;636;575;710;401;309;25;16;9;16;9;7;143;106;37;531;383;148;8,171;4,225;3,946;5,009;2,386;2,623;2,225;1,028;1,197;127;8;119;150;118;32
11;Kec. Seberang Ulu I;16,201;7,963;8,238;374;194;180;709;354;355;0;0;0;0;0;0;106;73;33;0;0;0;5,999;3,077;2,922;2,263;1,147;1,116;3,933;1,759;2,174;2,817;1,359;1,458;0;0;0
12;Kec. Seberang Ulu II;15,359;8,121;7,238;832;437;395;432;232;200;0;0;0;58;29;29;101;67;34;0;0;0;5,784;3,029;2,755;3,542;1,823;1,719;2,67;1,184;1,486;1,918;1,301;617;22;19;3
13;Kec. Jakabaring;14,672;7,533;7,139;727;392;335;356;167;189;0;0;0;16;9;7;18;13;5;0;0;0;8,69;4,485;4,205;4,865;2,467;2,398;0;0;0;0;0;0;0;0;0
14;Kec. Gandus;13,432;6,75;6,682;648;328;320;833;444;389;0;0;0;29;11;18;34;26;8;0;0;0;6,237;3,147;3,09;3,617;1,794;1,823;2,034;1;1,034;0;0;0;0;0;0
15;Kec. Ilir Timur III;13,254;6,832;6,422;1,045;547;498;487;254;233;0;0;0;70;33;37;540;315;225;0;0;0;5,796;2,975;2,821;5,316;2,708;2,608;0;0;0;0;0;0;0;0;0
16;Kec. Ilir Barat II;9,366;5,014;4,352;427;223;204;275;144;131;0;0;0;89;42;47;349;242;107;0;0;0;4,045;2,085;1,96;2,336;1,223;1,113;1,036;537;499;809;518;291;0;0;0
17;Kec. Bukit Kecil;9,337;4,778;4,559;408;218;190;161;82;79;0;0;0;0;0;0;664;339;325;0;0;0;4,995;2,601;2,394;2,733;1,332;1,401;365;201;164;11;5;6;0;0;0
18;Kec. Sematang Borang;7,206;3,806;3,4;664;339;325;296;151;145;0;0;0;215;107;108;284;227;57;0;0;0;3,634;1,888;1,746;1,74;907;833;0;0;0;373;187;186;0;0;0
Total;Total;349,014;178,794;170,22;17,76;9,209;8,551;8,118;4,189;3,929;84;43;41;1,344;694;650;4,963;3,074;1,889;531;383;148;153,911;79,666;74,245;76,997;38,826;38,171;51,874;23,465;28,409;32,208;18,46;13,748;1,224;785;439
