Data Sekolah Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Kec. Sukarami;192;37;155;79;0;79;23;0;23;2;0;2;4;0;4;7;0;7;0;0;0;33;23;10;21;7;14;13;5;8;9;1;8;1;1;0
2;Kec. Ilir Barat I;159;42;117;45;1;44;21;0;21;0;0;0;4;0;4;5;0;5;0;0;0;42;29;13;19;6;13;16;4;12;6;2;4;1;0;1
3;Kec. Kalidoni;147;34;113;41;0;41;22;0;22;1;0;1;1;0;1;7;0;7;0;0;0;43;28;15;20;5;15;7;1;6;5;0;5;0;0;0
4;Kec. Sako;126;17;109;56;0;56;16;0;16;0;0;0;4;0;4;3;0;3;0;0;0;22;11;11;11;4;7;5;2;3;5;0;5;4;0;4
5;Kec. Alang-Alang Lebar;102;16;86;38;1;37;18;0;18;1;0;1;2;0;2;2;0;2;1;1;0;21;9;12;13;4;9;3;1;2;1;0;1;2;0;2
6;Kec. Ilir Timur II;97;18;79;19;0;19;10;0;10;0;0;0;2;0;2;0;0;0;0;0;0;23;13;10;12;2;10;19;2;17;10;1;9;2;0;2
7;Kec. Kemuning;92;19;73;20;1;19;7;0;7;0;0;0;4;0;4;3;0;3;0;0;0;23;11;12;13;3;10;9;2;7;10;2;8;3;0;3
8;Kec. Kertapati;88;32;56;10;1;9;18;0;18;1;0;1;5;0;5;1;0;1;0;0;0;34;27;7;13;3;10;4;1;3;2;0;2;0;0;0
9;Kec. Plaju;86;19;67;15;0;15;11;0;11;0;0;0;2;0;2;1;0;1;0;0;0;26;15;11;15;3;12;9;1;8;7;0;7;0;0;0
10;Kec. Seberang Ulu II;86;17;69;24;1;23;14;0;14;0;0;0;3;0;3;2;0;2;0;0;0;19;13;6;10;2;8;7;1;6;6;0;6;1;0;1
11;Kec. Gandus;78;21;57;21;0;21;19;0;19;0;0;0;4;0;4;2;0;2;0;0;0;18;14;4;8;5;3;5;2;3;1;0;1;0;0;0
12;Kec. Ilir Timur I;74;12;62;24;0;24;7;0;7;0;0;0;0;0;0;2;0;2;0;0;0;17;7;10;10;2;8;7;1;6;7;2;5;0;0;0
13;Kec. Ilir Timur III;72;9;63;18;0;18;12;0;12;0;0;0;1;0;1;5;0;5;0;0;0;17;7;10;17;2;15;1;0;1;0;0;0;1;0;1
14;Kec. Jakabaring;69;17;52;21;1;20;11;0;11;0;0;0;1;0;1;2;0;2;0;0;0;21;11;10;13;5;8;0;0;0;0;0;0;0;0;0
15;Kec. Seberang Ulu I;67;20;47;8;0;8;15;0;15;0;0;0;0;0;0;4;0;4;0;0;0;15;13;2;7;3;4;10;3;7;8;1;7;0;0;0
16;Kec. Sematang Borang;53;7;46;18;1;17;10;0;10;0;0;0;6;0;6;5;0;5;0;0;0;9;4;5;4;2;2;0;0;0;1;0;1;0;0;0
17;Kec. Ilir Barat II;48;11;37;10;0;10;11;0;11;0;0;0;2;0;2;3;0;3;0;0;0;10;9;1;6;2;4;4;0;4;2;0;2;0;0;0
18;Kec. Bukit Kecil;43;8;35;9;0;9;9;0;9;0;0;0;0;0;0;2;0;2;0;0;0;12;6;6;8;2;6;2;0;2;1;0;1;0;0;0
Total;Total;1,679;356;1,323;476;7;469;254;0;254;5;0;5;45;0;45;56;0;56;1;1;0;405;250;155;220;62;158;121;26;95;81;9;72;15;1;14
